12,极限特工：终极回归,动作,112741,36,23,美国,2017-02-10,
13,生化危机：终章,科幻,111182,35,20,美国/德国,2017-02-24,
14,乘风破浪,剧情,104853,36,27,中国,2017-01-28,
15,神偷奶爸3,动画,103780,34,20,美国,2017-07-07,
16,蜘蛛侠：英雄归来,动作,77414,35,16,美国,2017-09-08,
17,大闹天竺,喜剧,75793,36,31,中国,2017-01-28,
18,雷神3：诸神黄昏,动作,74303,35,15,美国,2017-11-03,
19,猩球崛起3：终极之战,动作,73978,35,16,美国,2017-09-15,
20,金刚狼3：殊死一战,动作,73163,32,16,美国,2017-03-03,
21,悟空传,奇幻,69653,36,17,中国,2017-07-13,
22,正义联盟,动作,69008,35,13,美国,2017-11-17,
23,银河护卫队2,科幻,68611,37,17,美国,2017-05-05,
24,新木乃伊,动作,62560,35,16,美国,2017-06-09,
25,神奇女侠,动作/奇幻,61010,36,16,美国,2017-06-02,
1,美人鱼,喜剧,339210,37,44,中国/中国香港,2016-02-08,
2,疯狂动物城,动画,153033,34,29,美国,2016-03-04,
3,魔兽,动作,147214,37,25,美国,2016-06-08,
4,美国队长3：英雄内战,动作,124625,35,25,美国,2016-05-06,
5,西游记之孙悟空三打白骨精,动作,120101,37,36,中国,2016-02-08,
6,湄公河行动,动作,118417,30,25,中国香港/中国,2016-09-30,
7,澳门风云3,喜剧,111818,36,36,中国/中国香港,2016-02-08,
8,盗墓笔记,奇幻,100439,35,27,中国,2016-08-05,
9,功夫熊猫3,动画,100200,36,25,中国/美国,2016-01-29,
10,长城,奇幻,97937,35,25,美国/中国,2016-12-16,
11,奇幻森林,奇幻,97933,34,24,美国,2016-04-15,
12,绝地逃亡,动作,88938,35,25,美国/中国香港/中国,2016-07-21,
13,星球大战：原力觉醒,科幻,82557,37,24,美国,2016-01-09,
14,从你的全世界路过,爱情,81417,31,22,中国,2016-09-29,
15,X战警：天启,动作,80284,34,23,美国,2016-06-03,
16,北京遇上西雅图之不二情书,爱情,78675,34,24,中国/中国香港,2016-04-29,
17,叶问3,动作,77028,39,23,中国/中国香港,2016-03-04,
18,奇异博士,奇幻,75165,35,18,美国,2016-11-04,
19,唐人街探案,喜剧,68262,32,31,中国,2015-12-31,
